Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1854.0,OUT049
FDW14,1566.0,OUT017
NCN55,1878.0,OUT010
FDQ58,2582.0,OUT017
FDY38,5190.0,OUT027
FDH56,1925.0,OUT046
FDL48,638.0,OUT018
FDC48,2778.0,OUT027
FDN33,1496.0,OUT045
FDA36,3060.0,OUT017
FDT44,1978.0,OUT017
FDQ56,1282.0,OUT045
NCC54,1840.0,OUT019
FDU11,2054.0,OUT049
DRL59,914.0,OUT013
FDM24,2574.0,OUT049
FDI57,3062.0,OUT045
DRC12,2814.0,OUT018
NCM42,3194.0,OUT027
FDA46,1132.0,OUT010
FDA31,2808.0,OUT013
NCJ31,3860.0,OUT035
FDG52,801.0,OUT046
NCL19,360.0,OUT019
FDS10,3002.0,OUT035
FDX22,1452.0,OUT010
NCF19,893.0,OUT035
NCE06,2529.0,OUT046
DRC27,3863.0,OUT046
FDE21,2002.0,OUT035
NCR42,-1376.0,OUT019
FDX51,2904.0,OUT018
NCR06,456.0,OUT018
FDU31,4950.0,OUT027
FDU59,2694.0,OUT017
FDR03,4774.0,OUT027
FDS49,2762.0,OUT027
FDD48,-80.0,OUT010
NCF18,3094.0,OUT017
NCD43,3100.0,OUT027
NCD54,2020.0,OUT018
FDY19,-44.0,OUT010
NCY54,2796.0,OUT017
NCL19,2050.0,OUT018
FDP23,1528.0,OUT010
FDC26,1832.0,OUT013
FDR14,-1040.0,OUT010
NCS41,3012.0,OUT035
FDF41,4022.0,OUT035
FDU34,2001.0,OUT046
DRH11,939.0,OUT046
FDM03,1768.0,OUT013
FDS31,3032.0,OUT017
FDJ20,2084.0,OUT017
FDV44,4502.0,OUT027
FDG02,3106.0,OUT049
FDA09,2928.0,OUT013
FDT04,696.0,OUT013
FDL58,2292.0,OUT019
FDE52,1434.0,OUT045
FDW12,2490.0,OUT035
FDL51,3540.0,OUT017
NCY42,3690.0,OUT027
FDR07,1640.0,OUT017
FDN40,2346.0,OUT045
FDB35,2962.0,OUT027
FDA22,2722.0,OUT017
NCL06,4109.0,OUT046
FDI35,2928.0,OUT013
