Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1875.4860427560234,OUT049
FDW14,1591.7612740786317,OUT017
NCN55,1822.6726586170034,OUT010
FDQ58,2546.3629591573917,OUT017
FDY38,5087.605400109228,OUT027
FDH56,1942.6371302122518,OUT046
FDL48,680.8000272442434,OUT018
FDC48,2806.042744135888,OUT027
FDN33,1541.2477558067726,OUT045
FDA36,3051.675735541096,OUT017
FDT44,2004.9816551032454,OUT017
FDQ56,1358.1533406290998,OUT045
NCC54,1819.7081624356488,OUT019
FDU11,2076.7501933506533,OUT049
DRL59,963.7365800429811,OUT013
FDM24,2541.5716064996277,OUT049
FDI57,3047.575103091969,OUT045
DRC12,2726.5903317931275,OUT018
NCM42,3196.3220820943375,OUT027
FDA46,1129.086593209293,OUT010
FDA31,2782.8531016284633,OUT013
NCJ31,3802.670858884,OUT035
FDG52,863.6967323629378,OUT046
NCL19,383.6749739722944,OUT019
FDS10,2986.404070313178,OUT035
FDX22,1453.2700642602763,OUT010
NCF19,998.5313152811401,OUT035
NCE06,2519.829608866122,OUT046
DRC27,3768.6660667896886,OUT046
FDE21,2044.9750562281506,OUT035
NCR42,-1251.1341145471429,OUT019
FDX51,2840.707683652799,OUT018
NCR06,510.7134768810507,OUT018
FDU31,4872.6616182120215,OUT027
FDU59,2684.937811854625,OUT017
FDR03,4667.855182836752,OUT027
FDS49,2769.5521447021074,OUT027
FDD48,-11.742853337760835,OUT010
NCF18,3083.509221364912,OUT017
NCD43,3104.4140854002494,OUT027
NCD54,2007.8274969877764,OUT018
FDY19,23.568113246546545,OUT010
NCY54,2783.2415589678117,OUT017
NCL19,2023.521417526348,OUT018
FDP23,1509.3653428274201,OUT010
FDC26,1848.5794920752455,OUT013
FDR14,-931.0749455928512,OUT010
NCS41,2986.6196676007457,OUT035
FDF41,3971.3364664503224,OUT035
FDU34,2004.5683173135994,OUT046
DRH11,984.1695289641905,OUT046
FDM03,1734.3034064058752,OUT013
FDS31,2964.893326909247,OUT017
FDJ20,2116.752967896567,OUT017
FDV44,4427.7848089620775,OUT027
FDG02,3080.328271401882,OUT049
FDA09,2877.990100455806,OUT013
FDT04,743.8136889644128,OUT013
FDL58,2224.430519922795,OUT019
FDE52,1472.297911994054,OUT045
FDW12,2500.3276177548,OUT035
FDL51,3499.1716317514506,OUT017
NCY42,3669.3541994593,OUT027
FDR07,1704.3865411049353,OUT017
FDN40,2341.925789890121,OUT045
FDB35,2975.938723178916,OUT027
FDA22,2708.401927647028,OUT017
NCL06,4020.093188584383,OUT046
FDI35,2889.3869050858084,OUT013
NCW42,3358.986753706945,OUT045
NCX06,2926.340846616716,OUT049
FDC37,3208.315481741239,OUT027
FDZ14,1759.362855368343,OUT018
DRG49,3880.4720445096327,OUT049
NCG06,3875.8374405200043,OUT045
DRC36,2697.430348414643,OUT045
FDV21,89.20329367236582,OUT019
FDB53,2335.283600362811,OUT046
DRP47,1969.3600466199537,OUT019
FDA14,2346.3123118934714,OUT013
DRC24,2559.4368407748684,OUT035
FDW21,1431.141525256184,OUT018
NCH29,1574.1901419858757,OUT046
FDU58,3038.8499545102054,OUT013
FDY27,2888.5866735281916,OUT017
FDV56,1978.6353753250971,OUT035
FDT59,3588.2190445169263,OUT046
FDB23,3557.519898156398,OUT046
FDR49,760.3217983798738,OUT045
FDB03,1879.100291847793,OUT010
FDN39,2601.0081164778544,OUT045
FDX02,4893.539499114103,OUT027
FDQ16,3196.5764802810186,OUT027
FDU35,1349.3325726460896,OUT018
NCT29,1985.407412854459,OUT013
FDZ27,871.1855531616688,OUT046
FDN57,2352.025935043547,OUT017
FDA03,2095.9434563670675,OUT018
FDZ36,2892.910145545567,OUT045
NCU05,1378.5344023376745,OUT013
FDT39,2199.4632583522503,OUT018
FDK60,1722.7099429732355,OUT017
FDZ25,2809.5987327632392,OUT017
FDG12,1996.2641667968057,OUT046
DRB01,1083.3357803119575,OUT019
NCC43,5257.561572088322,OUT027
FDX13,1979.8573545982817,OUT019
FDM22,1099.9470861104887,OUT049
FDJ03,2354.4228412884286,OUT027
FDU14,3604.6800005478617,OUT018
FDB33,672.5769401362751,OUT010
FDP27,2975.1934067615784,OUT046
FDO38,-582.7923496414335,OUT010
FDE28,5039.5635892100145,OUT027
FDO27,1728.2847298513598,OUT035
DRL23,3168.950989414747,OUT027
